"","ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","ACCIDENT_TYPE","Accident Type Desc","DAY_OF_WEEK","Day Week Description","ROAD_GEOMETRY","Road Geometry Desc","SPEED_ZONE","SEVERITY","VEHICLE_TYPE","Vehicle Type Desc","LGA_NAME","LGA_NAME_ALL","Lat","Long","POSTCODE_NO","ROAD_NAME","ROAD_TYPE","ROAD_TYPE_INT","DISTANCE_LOCATION","YEAR","sev_desc"
"243954","T20150000784",2015-01-01,17:50:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","050",3,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.34179867,144.7474416,3943,"POINT NEPEAN","ROAD","ROAD",39,2015,"Other injury accident"
"243967","T20150000794",2015-01-12,17:15:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.79341738,144.9712057,3053,"RATHDOWNE","STREET","STREET",0,2015,"Other injury accident"
"243970","T20150000795",2015-01-12,18:50:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","070",3,"13","Bicycle","YARRA RANGES","YARRA RANGES",-37.80997909,145.3427238,3765,"LEITH","ROAD","ROAD",0,2015,"Other injury accident"
"243990","T20150000808",2015-01-12,16:00:00,1,"Collision with vehicle",2,"Monday",4,"Multiple intersection","080",2,"13","Bicycle","HUME","HUME",-37.70636249,144.860423,3043,"KEILOR PARK","DRIVE","ROAD",26,2015,"Serious injury accident"
"244011","T20150000825",2015-01-07,10:30:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","999",3,"13","Bicycle","BALLARAT","BALLARAT",-37.58692713,143.8287493,3356,"HERTFORD","STREET","STREET",12,2015,"Other injury accident"
"244019","T20150000835",2015-01-07,11:15:00,8,"No collision and no object struck",4,"Wednesday",5,"Not at intersection","050",2,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.92680757,145.0451205,3204,"PATTERSON","ROAD","ROAD",26,2015,"Serious injury accident"
"244066","T20150000876",2015-01-13,17:35:00,1,"Collision with vehicle",2,"Tuesday",1,"Cross intersection","060",3,"13","Bicycle","BOROONDARA","BOROONDARA",-37.82046484,145.0983132,3127,"MONT ALBERT","ROAD","ROAD",0,2015,"Other injury accident"
"244138","T20150000958",2015-01-14,14:58:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","080",3,"13","Bicycle","GEELONG","GEELONG",-38.28224355,144.446339,3227,"THIRTEENTH BEACH","ROAD","ROAD",2281,2015,"Other injury accident"
"244177","T20150000991",2015-01-14,13:30:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","060",3,"13","Bicycle","WHITEHORSE","BOROONDARA,WHITEHORSE",-37.82624733,145.099929,3127,"CANTERBURY","ROAD","ROAD",0,2015,"Other injury accident"
"244184","T20150000995",2015-01-15,07:45:00,1,"Collision with vehicle",4,"Thursday",1,"Cross intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.8993974,145.0551251,3163,"KOORNANG","ROAD","ROAD",0,2015,"Other injury accident"
"244200","T20150001009",2015-01-15,08:40:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","060",3,"13","Bicycle","KINGSTON","KINGSTON",-37.93358714,145.0993045,3167,"CLARINDA","ROAD","ROAD",0,2015,"Other injury accident"
"244201","T20150001009",2015-01-15,08:40:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","060",3,"13","Bicycle","KINGSTON","KINGSTON",-37.93358714,145.0993045,3169,"CLARINDA","ROAD","ROAD",0,2015,"Other injury accident"
"244205","T20150001011",2015-01-15,08:45:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","050",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80422744,144.9603004,3053,"LEICESTER","STREET","STREET",0,2015,"Other injury accident"
"244230","T20150001036",2015-01-03,07:10:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","060",3,"13","Bicycle","BAYSIDE","BAYSIDE",-37.99390203,145.0399026,3193,"BEACH","ROAD","STREET",44,2015,"Other injury accident"
"244249","T20150001044",2015-01-15,16:15:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","060",3,"13","Bicycle","BALLARAT","BALLARAT",-37.55579945,143.8189752,3350,"STURT","STREET","STREET",0,2015,"Other injury accident"
"244337","T20150001126",2015-01-16,14:30:00,1,"Collision with vehicle",6,"Friday",2,"T intersection","080",3,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.33133044,145.0084669,3936,"NEPEAN HIGHWAY -WHITE HILL","ROAD","HIGHWAY",0,2015,"Other injury accident"
"244374","T20150001159",2015-01-12,19:00:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","040",2,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.84263124,144.9623169,3206,"AUGHTIE","DRIVE","DRIVE",371,2015,"Serious injury accident"
"244400","T20150001188",2015-01-17,10:55:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","050",3,"13","Bicycle","HOBSONS BAY","HOBSONS BAY",-37.87463008,144.7912731,3028,"QUEEN","STREET","ROAD",0,2015,"Other injury accident"
"244401","T20150001188",2015-01-17,10:55:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","050",3,"13","Bicycle","HOBSONS BAY","HOBSONS BAY",-37.87463008,144.7912731,3018,"QUEEN","STREET","ROAD",0,2015,"Other injury accident"
"244407","T20150001192",2015-01-17,09:30:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","050",3,"13","Bicycle","HOBSONS BAY","HOBSONS BAY",-37.86292395,144.7775589,3028,"LINDEN","STREET","AVENUE",0,2015,"Other injury accident"
"244413","T20150001199",2015-01-17,12:30:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","050",3,"13","Bicycle","MORELAND","MORELAND",-37.76339926,144.9627514,3056,"SYDNEY","ROAD","STREET",0,2015,"Other injury accident"
"244445","T20150001223",2015-01-17,14:30:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","999",3,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.31996613,144.7126808,3944,"POINT NEPEAN","ROAD","ROAD SERVICE ROAD",5,2015,"Other injury accident"
"244489","T20150001266",2015-01-19,05:20:00,1,"Collision with vehicle",1,"Monday",5,"Not at intersection","060",3,"13","Bicycle","DAREBIN","DAREBIN",-37.71810419,145.0074017,3073,"HIGH","STREET","STREET",34,2015,"Other injury accident"
"244512","T20150001286",2015-01-19,10:10:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","060",3,"13","Bicycle","MILDURA","MILDURA",-34.19367087,142.162314,3500,"ELEVENTH","STREET","AVENUE",0,2015,"Other injury accident"
"244523","T20150001294",2015-01-12,08:30:00,1,"Collision with vehicle",2,"Monday",2,"T intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.84530141,144.9554988,3206,"KERFERD","ROAD","STREET",0,2015,"Other injury accident"
"244538","T20150001308",2015-01-05,17:24:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","888",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.88635054,145.0701745,3163,"HOBART","ROAD","STREET",37,2015,"Other injury accident"
"244556","T20150001320",2015-01-19,17:45:00,1,"Collision with vehicle",2,"Monday",2,"T intersection","080",2,"13","Bicycle","BRIMBANK","BRIMBANK",-37.67635069,144.7708413,3037,"CALDER","FREEWAY","DRIVE",0,2015,"Serious injury accident"
"244571","T20150001333",2015-01-19,19:30:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","999",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80042682,144.9639756,3053,"GRATTAN","STREET","STREET",0,2015,"Other injury accident"
"244572","T20150001333",2015-01-19,19:30:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","999",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80042682,144.9639756,3052,"GRATTAN","STREET","STREET",0,2015,"Other injury accident"
"244575","T20150001338",2015-01-19,17:50:00,1,"Collision with vehicle",1,"Monday",5,"Not at intersection","050",3,"13","Bicycle","YARRA","YARRA",-37.80593991,144.9966291,3067,"NICHOLSON","STREET","STREET",56,2015,"Other injury accident"
"244577","T20150001340",2015-01-19,18:30:00,1,"Collision with vehicle",2,"Monday",2,"T intersection","999",3,"13","Bicycle","WYNDHAM","WYNDHAM",-37.88485681,144.7002177,3030,"PRINCES","HIGHWAY","LANE",0,2015,"Other injury accident"
"244585","T20150001345",2015-01-19,20:11:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","060",2,"13","Bicycle","BRIMBANK","BRIMBANK",-37.75786201,144.791337,3023,"CAIRNLEA","DRIVE","ROAD",0,2015,"Serious injury accident"
"244608","T20150001359",2015-01-20,10:00:00,1,"Collision with vehicle",3,"Tuesday",1,"Cross intersection","090",3,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.23531327,145.1512719,3933,"COOLART","ROAD","ROAD",0,2015,"Other injury accident"
"244609","T20150001359",2015-01-20,10:00:00,1,"Collision with vehicle",3,"Tuesday",1,"Cross intersection","090",3,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.23531327,145.1512719,3933,"COOLART","ROAD","ROAD",0,2015,"Other injury accident"
"244619","T20150001369",2015-01-20,12:30:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","040",2,"13","Bicycle","YARRA","YARRA",-37.82991395,145.0139248,3121,"CITYLINK",NA,"BOULEVARD",0,2015,"Serious injury accident"
"244641","T20150001384",2015-01-20,15:33:00,1,"Collision with vehicle",3,"Tuesday",1,"Cross intersection","060",2,"13","Bicycle","BENALLA","BENALLA",-36.55508765,145.9630472,3672,"BRIDGE STREET W-MANSFIELD","ROAD","ROAD",0,2015,"Serious injury accident"
"244654","T20150001395",2015-01-20,07:55:00,1,"Collision with vehicle",3,"Tuesday",1,"Cross intersection","040",3,"13","Bicycle","BOROONDARA","BOROONDARA",-37.82409597,145.0350757,3122,"GLENFERRIE","ROAD","ROAD",0,2015,"Other injury accident"
"244657","T20150001399",2015-01-20,20:15:00,1,"Collision with vehicle",2,"Tuesday",1,"Cross intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.83221232,144.9545943,3205,"FERRARS","STREET","STREET",0,2015,"Other injury accident"
"244665","T20150001409",2015-01-14,13:45:00,2,"Struck Pedestrian",4,"Wednesday",5,"Not at intersection","040",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.86321021,145.028202,3144,"GLENFERRIE","ROAD","GROVE",28,2015,"Other injury accident"
"244679","T20150001426",2015-01-21,10:30:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","050",3,"13","Bicycle","MOORABOOL","MOORABOOL",-37.67641125,144.4351657,3340,"GRANT","STREET","STREET",0,2015,"Other injury accident"
"244684","T20150001429",2015-01-06,18:00:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","050",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80189971,144.9498274,3051,"ERROL","STREET","STREET",22,2015,"Other injury accident"
"244688","T20150001434",2015-01-13,17:10:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","050",3,"13","Bicycle","WYNDHAM","WYNDHAM",-37.88970016,144.6302507,3024,"MCGRATH","ROAD","ROAD",146,2015,"Other injury accident"
"244702","T20150001446",2015-01-21,13:56:00,8,"No collision and no object struck",4,"Wednesday",5,"Not at intersection","040",2,"13","Bicycle","MORELAND","MORELAND",-37.76366047,144.9627042,3056,"SYDNEY","ROAD","STREET",29,2015,"Serious injury accident"
"244731","T20150001469",2015-01-21,06:30:00,1,"Collision with vehicle",3,"Wednesday",2,"T intersection","050",3,"13","Bicycle","MOONEE VALLEY","MOONEE VALLEY",-37.76995008,144.9258713,3039,"MT ALEXANDER","ROAD","STREET",0,2015,"Other injury accident"
"244732","T20150001471",2015-01-21,23:00:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","050",2,"13","Bicycle","DAREBIN","DAREBIN",-37.75689677,145.0003306,3071,"HAROLD","STREET","PLACE",11,2015,"Serious injury accident"
"244759","T20150001493",2015-01-22,09:24:00,1,"Collision with vehicle",5,"Thursday",2,"T intersection","080",3,"13","Bicycle","WODONGA","WODONGA",-36.1765779,146.9409956,3691,"JOHN SCHUBERT","DRIVE","BOULEVARD",0,2015,"Other injury accident"
"244762","T20150001495",2015-01-22,08:42:00,1,"Collision with vehicle",5,"Thursday",4,"Multiple intersection","070",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.8097755,144.9359,3008,"PEARL RIVER","ROAD","DRIVE",208,2015,"Serious injury accident"
"244789","T20150001519",2015-01-21,19:00:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.79795032,144.978533,3065,"BRUNSWICK","STREET","STREET",43,2015,"Other injury accident"
"244800","T20150001533",2015-01-21,07:25:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80953754,144.9756514,3002,"ALBERT","STREET","STREET",0,2015,"Other injury accident"
"244817","T20150001544",2015-01-22,18:20:00,1,"Collision with vehicle",4,"Thursday",1,"Cross intersection","050",3,"13","Bicycle","DAREBIN","DAREBIN",-37.72607208,145.0061138,3073,"CRAWLEY","STREET","STREET",0,2015,"Other injury accident"
"244819","T20150001549",2015-01-22,18:50:00,1,"Collision with vehicle",5,"Thursday",2,"T intersection","060",2,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.85157018,144.9563945,3206,"BEACONSFIELD","PARADE","STREET",0,2015,"Serious injury accident"
"244935","T20150001657",2015-01-24,08:05:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.87572999,144.9769301,3184,"MARINE","PARADE","STREET",43,2015,"Other injury accident"
"244937","T20150001657",2015-01-24,08:05:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.87572999,144.9769301,3184,"MARINE","PARADE","STREET",43,2015,"Other injury accident"
"244960","T20150001681",2015-01-24,12:30:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","060",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.7990234,144.9576442,3052,"ROYAL","PARADE","STREET",77,2015,"Serious injury accident"
"245008","T20150001739",2015-01-25,13:50:00,8,"No collision and no object struck",1,"Sunday",5,"Not at intersection","030",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.81464978,144.9661508,3000,"SWANSTON","STREET","STREET",16,2015,"Other injury accident"
"245009","T20150001740",2015-01-25,13:40:00,1,"Collision with vehicle",1,"Sunday",2,"T intersection","060",3,"13","Bicycle","NILLUMBIK","NILLUMBIK",-37.7182699,145.1398938,3095,"BRIDGE","STREET","STREET",0,2015,"Other injury accident"
"245047","T20150001767",2015-01-25,21:46:00,1,"Collision with vehicle",1,"Sunday",2,"T intersection","050",2,"13","Bicycle","BRIMBANK","BRIMBANK",-37.76564238,144.8426896,3020,"BERKSHIRE","ROAD","ROAD",0,2015,"Serious injury accident"
"245064","T20150001788",2015-01-17,21:20:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","999",3,"13","Bicycle","CASEY","CASEY",-38.08398104,145.2708933,3977,"LESDON","AVENUE","COURT",45,2015,"Other injury accident"
"245066","T20150001791",2015-01-17,08:15:00,8,"No collision and no object struck",7,"Saturday",2,"T intersection","060",2,"13","Bicycle","KINGSTON","KINGSTON",-38.00584769,145.0825277,3195,"BEACH","ROAD","STREET",0,2015,"Serious injury accident"
"245121","T20150001850",2015-01-23,16:45:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","040",3,"13","Bicycle","MORELAND","MORELAND",-37.77724226,144.9708485,3057,"BARKLY","STREET","STREET",0,2015,"Other injury accident"
"245155","T20150001873",2015-01-23,19:30:00,8,"No collision and no object struck",6,"Friday",2,"T intersection","080",3,"13","Bicycle","KNOX","KNOX",-37.83777167,145.2835897,3153,"MOUNTAIN","HIGHWAY","ROAD",0,2015,"Other injury accident"
"245185","T20150001908",2015-01-27,22:20:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","999",3,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.80128509,144.8878879,3011,"GEELONG","ROAD","STREET",44,2015,"Other injury accident"
"245195","T20150001916",2015-01-28,08:30:00,1,"Collision with vehicle",3,"Wednesday",1,"Cross intersection","040",3,"13","Bicycle","YARRA","YARRA",-37.80016408,144.9871862,3066,"PERRY","STREET","STREET",0,2015,"Other injury accident"
"245206","T20150001922",2015-01-28,08:35:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","050",1,"13","Bicycle","STONNINGTON","STONNINGTON",-37.87492159,145.040079,3145,"DANDENONG","ROAD","STREET",18,2015,"Fatal accident"
"245211","T20150001926",2015-01-28,09:13:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.79809806,144.9530825,3051,"FLEMINGTON","ROAD","STREET",21,2015,"Other injury accident"
"245212","T20150001926",2015-01-28,09:13:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.79809806,144.9530825,3052,"FLEMINGTON","ROAD","STREET",21,2015,"Other injury accident"
"245213","T20150001927",2015-01-28,12:45:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.92490965,145.0289301,3204,"PATTERSON","ROAD","AVENUE",28,2015,"Other injury accident"
"245237","T20150001949",2015-01-28,15:45:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","050",2,"13","Bicycle","KNOX","KNOX",-37.86099976,145.3215533,3154,"MOUNTAIN","HIGHWAY","AVENUE",327,2015,"Serious injury accident"
"245255","T20150001962",2015-01-28,18:35:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","070",3,"13","Bicycle","CASEY","CASEY",-38.02972896,145.2782802,3976,"POUND","ROAD","RISE",56,2015,"Other injury accident"
"245265","T20150001968",2015-01-28,19:16:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","060",3,"13","Bicycle","MONASH","MONASH",-37.88571808,145.1364396,3149,"WAVERLEY","ROAD","DRIVE",0,2015,"Other injury accident"
"245304","T20150002019",2015-01-24,02:00:00,8,"No collision and no object struck",7,"Saturday",2,"T intersection","050",3,"13","Bicycle","BANYULE","BANYULE",-37.71925451,145.1244539,3094,"LOOKER","ROAD","ROAD",0,2015,"Other injury accident"
"245322","T20150002031",2015-01-29,17:00:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","080",2,"13","Bicycle","DANDENONG","DANDENONG",-37.97520407,145.2037033,3175,"PRINCES","HIGHWAY","ROAD",0,2015,"Serious injury accident"
"245337","T20150002037",2015-01-29,18:25:00,1,"Collision with vehicle",4,"Thursday",5,"Not at intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.8133193,144.9599324,3000,"QUEEN","STREET","STREET",37,2015,"Other injury accident"
"245372","T20150002072",2015-01-04,11:02:00,1,"Collision with vehicle",1,"Sunday",5,"Not at intersection","050",3,"13","Bicycle","SHEPPARTON","SHEPPARTON",-36.39425033,145.3605701,3629,"MCLENNAN","STREET","STREET",30,2015,"Other injury accident"
